ID,Service,Voice,Input Set,Language,Text,Text Length,Latency (s)
8925021586661188624,Eleven Labs,Arayah,simple,en-US,Hello. how are you?,19,2.92
51885777537526446,Eleven Labs,Arayah,simple,en-US,The quick brown fox jumps over the lazy dog.,44,1.58
8913588063236013244,Eleven Labs,Arayah,simple,en-US,Peter Piper picked a pack of pickled peppers.,45,1.12
2165002224433894268,Eleven Labs,Arayah,simple,es-ES,Hola. ¿Cómo estás?,18,1.2
8188199309500719956,Eleven Labs,Arayah,simple,es-ES,El rápido zorro marrón salta sobre el perro perezoso.,53,1.86
7212909890156092098,Eleven Labs,Arayah,simple,es-ES,Peter Piper eligió un paquete de pimientos encurtidos.,54,1.32
2165002224433894268,Eleven Labs,Arayah,simple,es-MX,Hola. ¿Cómo estás?,18,1.17
8188199309500719956,Eleven Labs,Arayah,simple,es-MX,El rápido zorro marrón salta sobre el perro perezoso.,53,1.22
1371550544522649601,Eleven Labs,Arayah,simple,es-MX,Peter Piper recogió un paquete de pimientos encurtidos.,55,1.22
4753729290954901206,Eleven Labs,Arayah,simple,pt-PT,Olá. Como você está?,20,1.21
6356836042471887072,Eleven Labs,Arayah,simple,pt-PT,A rápida raposa marrom pula sobre o cachorro preguiçoso.,56,2.06
6562565795391719012,Eleven Labs,Arayah,simple,pt-PT,Peter Piper pegou um pacote de pimentos em conserva.,52,1.23
5862655455577776699,Eleven Labs,Arayah,simple,fr-FR,Bonjour. Comment allez-vous ?,29,2.12
3932642142449331510,Eleven Labs,Arayah,simple,fr-FR,Le rapide renard brun saute par-dessus le chien paresseux.,58,1.77
1425057066655084083,Eleven Labs,Arayah,simple,fr-FR,Peter Piper a cueilli un paquet de poivrons marinés.,52,2.04
5862655455577776699,Eleven Labs,Arayah,simple,fr-CA,Bonjour. Comment allez-vous ?,29,0.93
6400332869195355130,Eleven Labs,Arayah,simple,fr-CA,Le renard brun saute par-dessus le chien paresseux.,51,2.1
1425057066655084083,Eleven Labs,Arayah,simple,fr-CA,Peter Piper a cueilli un paquet de poivrons marinés.,52,1.31
750049112243284312,Eleven Labs,Arayah,simple,TL,Kumusta. Kumusta ka?,20,1.54
8583836882064948772,Eleven Labs,Arayah,simple,TL,Tumalon ang mabilis na kayumanggi na lobos sa tamad na aso.,59,1.34
9069295608496912676,Eleven Labs,Arayah,simple,TL,Pumili ni Peter Piper ng isang pakete ng mga inakado na paminta.,64,1.68
728551199659977059,Eleven Labs,Arayah,simple,cmn-CN,你好你好嗎,5,0.83
4688018980944431817,Eleven Labs,Arayah,simple,cmn-CN,快速的棕色狐狸跳過懶狗。,12,1.06
4396121200191723828,Eleven Labs,Arayah,simple,cmn-CN,彼得·派珀摘了一包醃辣椒。,13,1.37
6837193458680211155,Eleven Labs,Arayah,punctuation,en-US,What is your estimated time of arival?,38,1.19
5501091580862937225,Eleven Labs,Arayah,punctuation,en-US,What is your estimated time of arival?!,39,3.14
7135115157560503405,Eleven Labs,Arayah,punctuation,en-US,What is your estimated time of arival!,38,1.95
8025606214448590429,Eleven Labs,Arayah,punctuation,en-US,WHAT IS YOUR ESTIMATED TIME OF ARIVIAL,38,1.46
7831771835446930246,Eleven Labs,Arayah,punctuation,es-ES,¿Cuál es su hora estimada de llegada?,37,1.11
166951275643399112,Eleven Labs,Arayah,punctuation,es-ES,¡Cuál es su hora estimada de llegada?,37,3.67
7573955906917710787,Eleven Labs,Arayah,punctuation,es-ES,¡Cuál es su hora estimada de llegada!,37,1.21
6264644438869561392,Eleven Labs,Arayah,punctuation,es-ES,CUÁL ES SU HORA ESTIMADA DE LLEGADA,35,2.89
7831771835446930246,Eleven Labs,Arayah,punctuation,es-MX,¿Cuál es su hora estimada de llegada?,37,1.11
166951275643399112,Eleven Labs,Arayah,punctuation,es-MX,¡Cuál es su hora estimada de llegada?,37,1.02
7573955906917710787,Eleven Labs,Arayah,punctuation,es-MX,¡Cuál es su hora estimada de llegada!,37,1.18
6264644438869561392,Eleven Labs,Arayah,punctuation,es-MX,CUÁL ES SU HORA ESTIMADA DE LLEGADA,35,1.71
7666379183136786365,Eleven Labs,Arayah,punctuation,pt-PT,Qual é a sua hora estimada de chegada?,38,2.21
5021236469771661559,Eleven Labs,Arayah,punctuation,pt-PT,Qual é a sua hora estimada de chegada?!,39,2.3
2014991941174067400,Eleven Labs,Arayah,punctuation,pt-PT,Qual é a sua hora estimada de chegada!,38,1.11
7402891813984987785,Eleven Labs,Arayah,punctuation,pt-PT,QUAL É A SUA HORA ESTIMADA DE CHEGADA,37,1.07
8062487703108261617,Eleven Labs,Arayah,punctuation,fr-FR,Quelle est votre heure d'arrivée estimée ?,42,1.14
8500438784852037656,Eleven Labs,Arayah,punctuation,fr-FR,Quelle est votre heure d'arrivée estimée !,42,1.23
782038275834647601,Eleven Labs,Arayah,punctuation,fr-FR,Quelle est votre heure d'arrivée estimée ?!,43,1.08
3021617756412487453,Eleven Labs,Arayah,punctuation,fr-FR,QUELLE EST VOTRE HEURE D'ARRIVÉE ESTIMÉE,40,2.01
5946140182619451000,Eleven Labs,Arayah,punctuation,fr-CA,Quelle est votre heure d'arrivée prévue ?,41,2.25
4866436179340973181,Eleven Labs,Arayah,punctuation,fr-CA,Quelle est votre heure d'arrivée prévue ?!,42,1.7
8848588523522952700,Eleven Labs,Arayah,punctuation,fr-CA,Quelle est votre heure d'arrivée prévue !,41,1.06
8064623276654009983,Eleven Labs,Arayah,punctuation,fr-CA,QUELLE EST VOTRE HEURE D'ARRIVÉE PRÉVUE,39,1.97
4209814435190064508,Eleven Labs,Arayah,punctuation,TL,Ano ang iyong tinatayang oras ng pagdating?,43,1.37
2784276928602308043,Eleven Labs,Arayah,punctuation,TL,Ano ang iyong tinatayang oras ng pagdating?!,44,1.16
1204864723463415071,Eleven Labs,Arayah,punctuation,TL,Ano ang iyong tinatayang oras ng pagdating!,43,1.21
5082339332614266659,Eleven Labs,Arayah,punctuation,TL,ANO ANG IYONG TINATAYANG ORAS NG PAGDATING,42,1.22
7886956240442034681,Eleven Labs,Arayah,punctuation,cmn-CN,您的預計抵達時間是多少？,12,1.06
2197403186592872498,Eleven Labs,Arayah,punctuation,cmn-CN,您的預計抵達時間是多少 ?!,14,1.12
2205317416793980068,Eleven Labs,Arayah,punctuation,cmn-CN,您的預計抵達時間是多少 !,13,1.61
6087551719013752517,Eleven Labs,Arayah,punctuation,cmn-CN,您的預計抵達時間是多少,11,1.78
3004261126142465640,Eleven Labs,Arayah,emojis,en-US,"🚨 Urgent, please read. 🚨",24,0.81
8246021018074882879,Eleven Labs,Arayah,emojis,en-US,🚨👀🚚🥇📦👇,6,1.05
2509758638360081379,Eleven Labs,Arayah,emojis,es-ES,"🚨 Urgente, por favor lee. 🚨",27,0.93
8246021018074882879,Eleven Labs,Arayah,emojis,es-ES,🚨👀🚚🥇📦👇,6,1.62
9153613790583379064,Eleven Labs,Arayah,emojis,es-MX,"🚨 Urgente, por favor lea. 🚨",27,1.04
8246021018074882879,Eleven Labs,Arayah,emojis,es-MX,🚨👀🚚🥇📦👇,6,1.28
7429739004681103999,Eleven Labs,Arayah,emojis,pt-PT,"🚨 Urgente, por favor, leia. 🚨",29,1.5
8246021018074882879,Eleven Labs,Arayah,emojis,pt-PT,🚨👀🚚🥇📦👇,6,2.14
1546910957959074124,Eleven Labs,Arayah,emojis,fr-FR,"🚨 C'est urgent, veuillez lire. 🚨",32,1.78
8246021018074882879,Eleven Labs,Arayah,emojis,fr-FR,🚨👀🚚🥇📦👇,6,1.18
4581489256287107400,Eleven Labs,Arayah,emojis,fr-CA,"🚨 Urgent, veuillez lire. 🚨",26,2.13
8246021018074882879,Eleven Labs,Arayah,emojis,fr-CA,🚨👀🚚🥇📦👇,6,1.16
2939784784324738155,Eleven Labs,Arayah,emojis,TL,"🚨 Kagad, mangyaring basahin. 🚨",30,2.87
8246021018074882879,Eleven Labs,Arayah,emojis,TL,🚨👀🚚🥇📦👇,6,3.22
4570215872077627048,Eleven Labs,Arayah,emojis,cmn-CN,🚨 緊急，請閱讀。 🚨,11,1.88
8246021018074882879,Eleven Labs,Arayah,emojis,cmn-CN,🚨👀🚚🥇📦👇,6,0.66
6460276623089429124,Eleven Labs,Arayah,formatted,en-US,"We met with 4 stakeholders from Grand Island Express yesterday. Good meeting. They're engaged. Huge potential to improve their predicability of delivery and save them time in what currently requires lots of phone calls and emails between dispatcher and driver. Takeaways:
 - The Fleet Manager is the person we are optimizing for.
 - They stand the most to gain from a voice messaging solution where they can have active 1-1 conversations with 50+ drivers in a single day to coordinate receipt timelines and re-route as necessary.
 - There are some language barriers which we can solve partially with translated transcripts (today) and fully with audio2audio translations in the future
 - This workflow has direct and indirect bottom line potential: cost savings vs the translation service they use today, greater predictability for customers = improved reputation and bookings, potential to deliver faster and limit driver downtime because they can more readily predict delivery timelines and solve for receivership and backhaul implications",1041,13.54
2543200995148744128,Eleven Labs,Arayah,formatted,es-ES,"Ayer nos reunimos con 4 partes interesadas de Grand Island Express. Buena reunión. Están comprometidos. Enorme potencial para mejorar su previsibilidad de entrega y ahorrarles tiempo en lo que actualmente requiere muchas llamadas telefónicas y correos electrónicos entre el despachador y el conductor. Conclusiones:
 - El administrador de flota es la persona para la que estamos optimizando.
 - Son los que más pueden ganar con una solución de mensajería de voz donde pueden tener conversaciones individuales activas con más de 50 conductores en un solo día para coordinar los plazos de recepción y desviar la ruta según sea necesario.
 - Existen algunas barreras del idioma que podemos resolver parcialmente con transcripciones traducidas (hoy) y completamente con traducciones audio2audio en el futuro.
 - Este flujo de trabajo tiene potencial directo e indirecto: ahorro de costos en comparación con el servicio de traducción que utilizan hoy, mayor previsibilidad para los clientes. = reputación y reservas mejoradas, potencial para realizar entregas más rápido y limitar el tiempo de inactividad de los conductores porque pueden predecir más fácilmente los plazos de entrega y resolver las implicaciones de la administración judicial y el backhaul",1252,16.91
2543200995148744128,Eleven Labs,Arayah,formatted,es-MX,"Ayer nos reunimos con 4 partes interesadas de Grand Island Express. Buena reunión. Están comprometidos. Enorme potencial para mejorar su previsibilidad de entrega y ahorrarles tiempo en lo que actualmente requiere muchas llamadas telefónicas y correos electrónicos entre el despachador y el conductor. Conclusiones:
 - El administrador de flota es la persona para la que estamos optimizando.
 - Son los que más pueden ganar con una solución de mensajería de voz donde pueden tener conversaciones individuales activas con más de 50 conductores en un solo día para coordinar los plazos de recepción y desviar la ruta según sea necesario.
 - Existen algunas barreras del idioma que podemos resolver parcialmente con transcripciones traducidas (hoy) y completamente con traducciones audio2audio en el futuro.
 - Este flujo de trabajo tiene potencial directo e indirecto: ahorro de costos en comparación con el servicio de traducción que utilizan hoy, mayor previsibilidad para los clientes. = reputación y reservas mejoradas, potencial para realizar entregas más rápido y limitar el tiempo de inactividad de los conductores porque pueden predecir más fácilmente los plazos de entrega y resolver las implicaciones de la administración judicial y el backhaul",1252,18.2
